Status,Version,Team,Effective from,Effective to,Preferred formation,Alternative formations,Philosophy summary,Attacking style,Build up style,Defensive style,Possession tendency,Build up patience,Passing directness,Attacking tempo,Attacking width,Crossing tendency,Counterattack tendency,Attacking risk,Pressing intensity,Defensive block height,Defensive line height,Defensive compactness,Transition defence,Defensive aggression,Set piece emphasis,Rotation tendency,Tactical flexibility,Youth usage,Source urls,Research notes,Manager,Nationality
Approved,1,Hull City,Jun 2025,,4-2-3-1,"3-5-2, 4-4-2","Pragmatic, direct counterattacking football from a compact deep block; ratings carry low confidence due to limited English-language coverage.",Pragmatic counter,Direct progression,Compact deep block,42,35,58,48,50,55,58,38,45,30,32,55,50,55,58,35,50,30,https://www.transfermarkt.com,Qualitative Scouting Synthesis. Sources: Transfermarkt. Limited English-language coverage; ratings extrapolated from Turkish top-flight and Championship promotion form - low confidence.,Sergej Jakirovic,Bosnia
Approved,1,Ipswich Town,Jun 2026,,4-2-3-1 / 3-4-3,"4-4-2, 4-3-3","Flexible, pragmatic football from an adaptive mid-block, known for in-season tactical tweaks and quickly organising newly promoted squads.",Flexible pragmatic,Mixed progression,Adaptive mid-block,48,42,55,50,52,50,55,48,52,45,45,52,52,50,52,55,70,35,"https://fbref.com, https://www.transfermarkt.com","Qualitative Scouting Synthesis. Sources: Transfermarkt, FBref (Wolves/Bournemouth spells). Known for in-season tactical flexibility and getting promoted/newly-promoted sides organised quickly.",Gary O'Neil,England
Approved,1,Leeds United,Jul 2023,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","Signature patient, possession-based build-up behind an organised mid-block press, carried over from Norwich and Gladbach; a proven promotion specialist.",Patient possession,High-patience build-up,Mid-block organised press,60,68,42,52,55,48,42,52,55,50,48,55,55,52,55,42,60,45,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Bundesliga 2 archive. Signature patient, possession-based build-up carried from Norwich/Gladbach spells; promotion specialist.",Daniel Farke,Germany
Approved,1,Liverpool,Jul 2026,,4-2-3-1 / 4-3-3,"3-4-3, 4-4-2","High-intensity, vertical football with direct rapid progression and an ultra-aggressive counter-press, carrying elite pressing (PPDA) numbers over from Bournemouth.",High-intensity verticality,Direct rapid progression,Ultra-aggressive counter-press,58,42,68,72,62,50,70,62,88,62,55,45,85,62,50,50,58,35,"https://wyscout.com, https://statsbomb.com","Qualitative Scouting Synthesis. Sources: StatsBomb, Wyscout. Elite PPDA figures at Bournemouth; extremely high pressing intensity and rapid transitions carried into new post.",Andoni Iraola,Spain
Approved,1,Manchester City,Jul 2026,,4-3-3 / 3-2-4-1,"4-2-3-1, 3-4-3","Guardiola-lineage elite possession control with ultra-patient, goalkeeper-involved build-up behind a high defensive line and controlled press.",Elite possession control,Ultra-patient build-up,High line controlled press,80,82,32,55,58,35,32,60,70,70,72,50,55,48,58,48,65,35,"https://fbref.com, https://www.optasports.com","Qualitative Scouting Synthesis. Sources: FBref, Opta (Chelsea/Leicester tenure). Guardiola-lineage possession disciple; extreme patience in buildup, goalkeeper-involved circulation.",Enzo Maresca,Italy
Approved,1,Manchester United,Jan 2026,,4-2-3-1 / 3-4-3,"4-3-3, 4-4-2","Balanced, pragmatic football from an organised mid-block, prioritising low-risk structure and quick defensive reorganisation to stabilise the squad after Amorim's exit.",Balanced pragmatic,Mixed progression,Organised mid-block,52,48,52,55,55,48,55,52,55,48,48,55,55,50,52,48,60,32,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Middlesbrough Championship data. Stabilised United with pragmatic, low-risk structure and quick defensive reorganisation after Amorim's exit.",Michael Carrick,England
Approved,1,Newcastle United,Aug 2026,,4-2-3-1 / 4-4-2,"3-4-3, 4-3-3","High-tempo, direct vertical football built around an extreme, ultra-high press, extrapolated from his RB Salzburg tenure as the league's newest appointment.",High-tempo pressing,Direct vertical progression,Extreme high press,52,38,65,70,58,50,65,60,88,65,62,42,80,60,45,50,55,50,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Transfermarkt, RB Salzburg tactical archive. Newest PL appointment; ratings extrapolated from Salzburg's trademark ultra-high press - low confidence pending in-league data.",Matthias Jaissle,Germany
Approved,1,Nottingham Forest,Jul 2026,,3-4-2-1 / 4-2-3-1,"5-2-3, 4-3-3","Disciplined, compact low-to-mid block built for clinical counterattacking, the trademark of his trophy-winning underdog sides at Eintracht Frankfurt and Crystal Palace.",Disciplined counterattack,Direct/mixed progression,Compact low-to-mid block,45,38,58,55,52,50,68,45,52,35,35,68,58,55,60,38,68,30,https://fbref.com,"Qualitative Scouting Synthesis. Sources: FBref, Eintracht Frankfurt Europa League run. Known for defensive discipline and clinical, fast breaks; won trophies with underdog counter-attacking sides.",Oliver Glasner,Austria
Approved,1,Sunderland,Jul 2024,,4-3-3 / 4-2-3-1,"3-4-3, 4-4-2","Progressive, patient structured possession football from an organised mid-block, rooted in French academy-pathway methodology; led Sunderland's promotion.",Progressive patient,Structured possession,Mid-block organised,55,58,45,52,52,45,45,50,55,50,50,52,52,48,50,42,58,55,https://www.transfermarkt.com,"Qualitative Scouting Synthesis. Sources: Ligue 2/Championship archives, Transfermarkt. French methodology emphasising patient circulation and academy pathways; led Sunderland's promotion.",Regis Le Bris,France
Approved,1,Tottenham Hotspur,Mar 2026,,4-2-3-1 / 3-4-3,"4-3-3, 3-4-2-1","Ultra-positional, high-risk possession football with extreme patient, goalkeeper-integrated build-up and an aggressive high-line press; among Europe's most distinctive rest-defence and back-three rotation systems.",Ultra-positional risk-taking,Extreme patient build-up,High line aggressive press,78,80,30,58,55,32,30,82,72,70,72,45,60,45,55,45,68,45,"https://wyscout.com, https://statsbomb.com","Qualitative Scouting Synthesis. Sources: StatsBomb, Wyscout (Brighton/Sassuolo tenure). Signature high-risk goalkeeper-integrated buildup and back-three rotations; among the most distinctive rest-defence profiles in Europe.",Roberto De Zerbi,Italy
